escolaridade,grau_hierarquico,created_at,extroversao,dominancia,condescendencia,concentracao,perfil_tecnico,detalhismo,empatia,sociabilidade,automotivacao,multitarefas,tolerancia,planejamento,capac_ouvir,organizacao,orientadorsultado,proatividade,relac_interpes,orientadorelacionamento,rigorosidade,dinamismo,perfil,forca_candidato,indicestress,ia,moral,indice_positivo,amplitude,flexibilidade,perc_executor2colp,perc_executor2coln,perc_executor,perc_comunicador2sanp,perc_comunicador2sann,perc_comunicador,perc_planejador2flep,perc_planejador2flen,perc_planejador,perc_analista2melp,perc_analista2meln,perc_analista,incitabilidade,energperfil,departamento,empresa,ativa,demitido,dias_permanencia,intervalo_dias_permanencia,intervalo_idade,sexo_0,sexo_1,sexo_2,estado_civil_0,estado_civil_1,estado_civil_2,estado_civil_3,candidato_id_anonimo
4.0,1.0,2021-03-02 19:49:34,65.380843412881,67.07216833799194,52.20811728946808,52.20811728946808,44.59930313588781,44.59930313588781,60.22769004774036,65.380843412881,68.78306878306944,68.78306878306944,62.87787182587666,60.22769004774036,60.22769004774036,44.59930313588781,57.00712589073634,68.78306878306944,65.380843412881,62.87787182587666,57.00712589073634,67.07216833799194,EC,13.793103448276,7.7,-2.0,0.70588235294118,25.0,11.428571428571,-8.831,29.951690821256,0.0,29.714285714286,24.390243902439,0.0,28.571428571429,18.721461187215,0.0,23.428571428571,15.311004784689,0.0,18.285714285714,61.87,44.44,Mercearia,FORNECEDORA JACOME COMERCIO E INDUSTRIA LTDA,0,1,312,2,2,0,1,0,0,1,0,0,ID_2166
6.0,1.0,2024-04-03 13:57:42,39.15858001199231,47.38374060786569,73.6214385629095,73.6214385629095,86.0832137733142,86.0832137733142,60.48691970361408,39.15858001199231,55.70409982174687,55.70409982174687,49.14354441347826,60.48691970361408,60.48691970361408,86.0832137733142,70.49678001193999,55.70409982174687,39.15858001199231,49.14354441347826,70.49678001193999,47.38374060786569,A,27.58620689655172,55.67,2.40641711229947,4.8,6.36669381853447,18.18181818181818,4.21,42.02898550724638,12.62135922330097,24.06417112299465,29.26829268292683,3.6036036036036,17.11229946524064,39.72602739726028,0.0,23.52941176470588,56.93779904306221,10.15625,35.29411764705882,24.84,89.52,Arquitetura,SP CONSULT ,1,0,1315,5,2,0,1,0,0,1,0,0,ID_5240
4.0,1.0,2023-08-23 13:52:43,78.9079144638207,75.21346555511865,43.35356499699861,43.35356499699861,38.99380686596835,38.99380686596835,47.94868282147782,78.9079144638207,71.47625682108439,71.47625682108439,64.25005591081562,47.94868282147782,47.94868282147782,38.99380686596835,55.65938689044594,71.47625682108439,78.9079144638207,64.25005591081562,55.65938689044594,75.21346555511865,CE,49.42528735632184,6.43,0.47021943573667,1.075,5.33153953963327,18.49529780564263,10.42,89.3719806763285,21.35922330097088,30.87774294670846,85.36585365853661,31.53153153153153,34.48275862068965,58.4474885844749,0.0,18.65203761755487,48.80382775119617,0.0,15.98746081504702,77.19,39.94,Farmácia Itaituba 1,CELIDONIO E OLIVO FARMACIA LTDA,1,0,677,3,3,0,1,0,1,0,0,0,ID_8787
5.0,1.0,2022-10-07 19:25:50,53.63272311212814,62.93153049482163,56.71151439299123,56.71151439299123,45.73170731707317,45.73170731707317,68.2840616966581,53.63272311212814,72.33796296296296,72.33796296296296,60.45949214026602,68.2840616966581,68.2840616966581,45.73170731707317,59.38242280285036,72.33796296296296,53.63272311212814,60.45949214026602,59.38242280285036,62.93153049482163,EP,9.19540229885057,40.05,0.0,1.6,25.0,12.5,-6.092,19.32367149758454,0.0,31.25,14.63414634146341,0.0,23.4375,15.52511415525114,0.0,26.5625,11.48325358851675,0.0,18.75,54.09,52.38,Comercial SP/MG - Regional I,Rastrecall,0,0,538,3,2,1,0,0,0,1,0,0,ID_8357
6.0,1.0,2021-04-27 18:25:58,38.95028969278032,38.35826620636823,83.43763037129662,83.43763037129662,88.22003113648049,88.22003113648049,78.39705372932904,38.95028969278032,37.75939059627084,37.75939059627084,57.45795706947278,78.39705372932904,78.39705372932904,88.22003113648049,62.33048634625415,37.75939059627084,38.95028969278032,57.45795706947278,62.33048634625415,38.35826620636823,AP,10.344827586207,24.19,2.4822695035461,1.8,25.0,19.858156028369,-6.684,11.111111111111,0.0,16.312056737589,11.707317073171,0.0,17.021276595745,19.634703196347,0.0,30.496453900709,24.401913875598,0.0,36.170212765957,7.86,62.23,Guara - DF,MTOP FRANQUIAS LTDA,1,0,1141,5,2,0,1,0,1,0,0,0,ID_9975
4.0,1.0,2023-06-01 18:59:29,48.06536890170631,51.49465874279468,69.15036489676022,69.15036489676022,65.15202138322753,65.15202138322753,73.3645572889155,48.06536890170631,54.96363943852531,54.96363943852531,59.907350659533,73.3645572889155,73.3645572889155,65.15202138322753,59.92472803392662,54.96363943852531,48.06536890170631,59.907350659533,59.92472803392662,51.49465874279468,PA,32.18390804597702,15.12,-0.45662100456621,1.86666666666667,14.81926890379779,7.53424657534247,9.75,50.24154589371981,9.70873786407767,23.74429223744293,43.90243902439025,1.8018018018018,21.00456621004566,56.62100456621005,0.0,28.53881278538813,54.54545454545455,2.34375,26.71232876712329,32.57,54.19,Area Tecnica- Bongas,Bongas Invel SRI,1,1,4274,7,3,1,0,0,0,1,0,0,ID_7875
4.0,1.0,2021-02-19 16:21:55,70.61907122340732,52.58610975472382,67.96329239442552,67.96329239442552,57.89968878917317,57.89968878917317,78.5701753716838,70.61907122340732,34.34443345422685,34.34443345422685,74.27367877172188,78.5701753716838,78.5701753716838,57.89968878917317,45.81433213276366,34.34443345422685,70.61907122340732,74.27367877172188,45.81433213276366,52.58610975472382,CP,22.988505747126,68.76,-4.3026706231454,2.2222222222222,8.5135464320972,16.023738872404,7.43,24.154589371981,0.0,14.836795252226,45.853658536585,9.009009009009,30.860534124629,45.205479452055,3.1578947368421,30.563798219585,34.92822966507201,5.46875,23.738872403561,34.63,7.05,OI EMPRESARIAL MOVEL,Alldesk,1,0,1670,5,3,0,1,0,0,1,0,0,ID_6398
4.0,1.0,2023-08-02 19:01:10,88.01267382503082,64.91398896462188,54.55537370430989,54.55537370430989,40.65040650406506,40.65040650406506,69.21099466086615,88.01267382503082,41.54795821462488,41.54795821462488,79.06241279880943,69.21099466086615,69.21099466086615,40.65040650406506,41.11090809428102,41.54795821462488,88.01267382503082,79.06241279880943,41.11090809428102,64.91398896462188,CP,5.74712643678161,98.41,5.12820512820513,1.0,25.0,21.7948717948718,-3.718,6.76328502415459,0.0,17.94871794871795,14.63414634146341,0.0,38.46153846153847,9.58904109589041,0.0,26.92307692307693,6.22009569377991,0.0,16.66666666666667,57.81,0.0,Atividades extras,OUTLIERS ESCOLA INTERNACIONAL LTDA.,1,1,252,2,3,0,1,0,1,0,0,0,ID_9380
3.0,2.0,2022-10-24 15:10:06,51.95126476591008,63.75765869436756,55.81300950512465,55.81300950512465,53.39485827290705,53.39485827290705,58.36170360591957,51.95126476591008,75.70070070070071,75.70070070070071,54.90375502467402,58.36170360591957,58.36170360591957,53.39485827290705,64.8391859793285,75.70070070070071,51.95126476591008,54.90375502467402,64.8391859793285,63.75765869436756,E,28.73563218390805,29.79,4.59459459459459,1.19047619047619,6.42767101582041,10.81081081081082,7.12,48.79227053140098,19.41747572815534,32.70270270270271,39.02439024390244,3.6036036036036,22.70270270270271,37.89954337899543,0.0,22.70270270270271,37.32057416267943,2.34375,21.89189189189189,55.64,70.61,Jurídico de Locação,FRIAS NETO CONSULTORIA DE IMÓVEIS,1,1,316,2,1,0,1,0,0,1,0,0,ID_87
6.0,1.0,2022-05-02 11:22:09,61.42072106839441,55.48737320588548,64.80785066844243,64.80785066844243,52.72000463472566,52.72000463472566,77.54825394305394,61.42072106839441,49.4853523357086,49.4853523357086,68.93243759460259,77.54825394305394,77.54825394305394,52.72000463472566,51.06042055732023,49.4853523357086,61.42072106839441,68.93243759460259,51.06042055732023,55.48737320588548,PC,29.88505747126437,28.30000000000001,1.54394299287411,0.83870967741935,4.38010572454052,8.78859857482186,9.88,38.16425120772947,10.67961165048544,21.37767220902612,49.26829268292683,10.81081081081081,26.84085510688836,55.70776255707762,4.21052631578947,30.16627078384798,34.44976076555024,14.84375,21.61520190023752,40.08,24.57,FISCAL,LCR Contadores,1,1,294,2,2,0,1,0,0,1,0,0,ID_1641
